<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PHOR,D,20220221,000000,5791.0000000,5988.0000000,5309.0000000,5536.0000000,547747
PHOR,D,20220222,000000,5504.0000000,5770.0000000,5052.0000000,5680.0000000,556623
PHOR,D,20220224,000000,5285.0000000,5375.0000000,3700.0000000,5175.0000000,456619
PHOR,D,20220225,000000,4815.0000000,5707.0000000,4815.0000000,5015.0000000,252195
PHOR,D,20220324,000000,5490.0000000,6733.0000000,5300.0000000,6350.0000000,193456
PHOR,D,20220325,000000,6450.0000000,7724.0000000,6415.0000000,6951.0000000,200023
PHOR,D,20220328,000000,7000.0000000,8449.0000000,6850.0000000,8345.0000000,458168
PHOR,D,20220329,000000,8840.0000000,10097.0000000,8500.0000000,8908.0000000,442479
PHOR,D,20220330,000000,8999.0000000,9450.0000000,7370.0000000,7950.0000000,265242
PHOR,D,20220331,000000,8516.0000000,8516.0000000,8000.0000000,8045.0000000,184105
PHOR,D,20220401,000000,8196.0000000,8196.0000000,7300.0000000,7400.0000000,333090
PHOR,D,20220404,000000,7548.0000000,7700.0000000,7014.0000000,7129.0000000,163961
PHOR,D,20220405,000000,7157.0000000,7157.0000000,6670.0000000,6881.0000000,161023
PHOR,D,20220406,000000,6912.0000000,7569.0000000,6881.0000000,7380.0000000,305022
PHOR,D,20220407,000000,7448.0000000,7653.0000000,7151.0000000,7286.0000000,152761
PHOR,D,20220408,000000,7311.0000000,7370.0000000,6914.0000000,6960.0000000,97353
PHOR,D,20220411,000000,7031.0000000,7149.0000000,6871.0000000,6927.0000000,72034
PHOR,D,20220412,000000,6927.0000000,6927.0000000,6600.0000000,6904.0000000,104561
PHOR,D,20220413,000000,6910.0000000,7369.0000000,6910.0000000,7289.0000000,180384
PHOR,D,20220414,000000,7315.0000000,7400.0000000,6700.0000000,6760.0000000,133371
PHOR,D,20220415,000000,6810.0000000,6840.0000000,6550.0000000,6820.0000000,176012
PHOR,D,20220418,000000,7128.0000000,7131.0000000,6850.0000000,6975.0000000,91539
PHOR,D,20220419,000000,6998.0000000,7000.0000000,6730.0000000,6949.0000000,53487
PHOR,D,20220420,000000,7000.0000000,7187.0000000,6870.0000000,7093.0000000,58901
PHOR,D,20220421,000000,7105.0000000,7300.0000000,7100.0000000,7103.0000000,80946
PHOR,D,20220422,000000,7099.0000000,7099.0000000,6900.0000000,7000.0000000,30312
PHOR,D,20220425,000000,6980.0000000,6984.0000000,6800.0000000,6859.0000000,37788
PHOR,D,20220426,000000,6857.0000000,7039.0000000,6851.0000000,7000.0000000,48519
PHOR,D,20220427,000000,6991.0000000,7075.0000000,6910.0000000,7038.0000000,73510
PHOR,D,20220428,000000,7040.0000000,7277.0000000,7040.0000000,7110.0000000,97832
PHOR,D,20220429,000000,7129.0000000,7179.0000000,7046.0000000,7107.0000000,74927
PHOR,D,20220504,000000,7099.0000000,7200.0000000,7011.0000000,7043.0000000,25892
PHOR,D,20220505,000000,7058.0000000,7188.0000000,7040.0000000,7168.0000000,22867
PHOR,D,20220506,000000,7176.0000000,7486.0000000,7150.0000000,7421.0000000,96929
PHOR,D,20220511,000000,7474.0000000,7989.0000000,7405.0000000,7933.0000000,109468
PHOR,D,20220512,000000,7975.0000000,8300.0000000,7500.0000000,7655.0000000,199095
PHOR,D,20220513,000000,7679.0000000,7850.0000000,7518.0000000,7740.0000000,59618
PHOR,D,20220516,000000,7797.0000000,8099.0000000,7780.0000000,7990.0000000,91139
PHOR,D,20220517,000000,8032.0000000,8197.0000000,7765.0000000,7881.0000000,91605
PHOR,D,20220518,000000,7984.0000000,8049.0000000,7812.0000000,7931.0000000,67921
PHOR,D,20220519,000000,7951.0000000,8100.0000000,7850.0000000,7930.0000000,54601
PHOR,D,20220520,000000,7999.0000000,7999.0000000,7121.0000000,7450.0000000,112788
PHOR,D,20220523,000000,7500.0000000,7549.0000000,7039.0000000,7199.0000000,67993
PHOR,D,20220524,000000,7202.0000000,7206.0000000,6800.0000000,7074.0000000,69206
PHOR,D,20220525,000000,7100.0000000,7277.0000000,7071.0000000,7221.0000000,39741
PHOR,D,20220526,000000,7276.0000000,7403.0000000,7252.0000000,7370.0000000,49849
PHOR,D,20220527,000000,7416.0000000,7417.0000000,7290.0000000,7292.0000000,39841
PHOR,D,20220530,000000,7282.0000000,7290.0000000,7025.0000000,7134.0000000,62208
PHOR,D,20220531,000000,7141.0000000,7191.0000000,7031.0000000,7125.0000000,32796
PHOR,D,20220601,000000,7125.0000000,7260.0000000,7110.0000000,7220.0000000,43765
PHOR,D,20220602,000000,7277.0000000,7290.0000000,6900.0000000,7013.0000000,101316
PHOR,D,20220603,000000,7018.0000000,7070.0000000,6907.0000000,7047.0000000,48812
PHOR,D,20220606,000000,7047.0000000,7050.0000000,6750.0000000,7031.0000000,59978
PHOR,D,20220607,000000,7035.0000000,7150.0000000,6946.0000000,7100.0000000,50627
PHOR,D,20220608,000000,7114.0000000,7232.0000000,7075.0000000,7195.0000000,47629
PHOR,D,20220609,000000,7196.0000000,7231.0000000,7080.0000000,7231.0000000,31253
PHOR,D,20220610,000000,7231.0000000,7277.0000000,7162.0000000,7262.0000000,34914
PHOR,D,20220614,000000,7263.0000000,7276.0000000,7100.0000000,7190.0000000,43182
PHOR,D,20220615,000000,7190.0000000,7237.0000000,7101.0000000,7217.0000000,42615
PHOR,D,20220616,000000,7237.0000000,7690.0000000,7226.0000000,7670.0000000,117745
PHOR,D,20220617,000000,7699.0000000,7701.0000000,7465.0000000,7543.0000000,64206
PHOR,D,20220620,000000,7564.0000000,7890.0000000,7543.0000000,7850.0000000,114824
PHOR,D,20220621,000000,7869.0000000,7930.0000000,7652.0000000,7770.0000000,87401
PHOR,D,20220622,000000,7768.0000000,8000.0000000,7603.0000000,7802.0000000,145445
PHOR,D,20220623,000000,7900.0000000,7991.0000000,7802.0000000,7990.0000000,70606
PHOR,D,20220624,000000,7951.0000000,7979.0000000,7820.0000000,7909.0000000,51274
PHOR,D,20220627,000000,7870.0000000,7965.0000000,7808.0000000,7930.0000000,46698
PHOR,D,20220628,000000,7911.0000000,7979.0000000,7840.0000000,7881.0000000,38656
PHOR,D,20220629,000000,7881.0000000,8097.0000000,7871.0000000,8085.0000000,79045
PHOR,D,20220630,000000,8073.0000000,8410.0000000,7243.0000000,7880.0000000,206606
PHOR,D,20220701,000000,7825.0000000,8037.0000000,7698.0000000,7800.0000000,54278
PHOR,D,20220704,000000,7379.0000000,7766.0000000,7210.0000000,7692.0000000,141905
PHOR,D,20220705,000000,7697.0000000,7738.0000000,7440.0000000,7631.0000000,51508
PHOR,D,20220706,000000,7618.0000000,7930.0000000,7556.0000000,7865.0000000,77712
PHOR,D,20220707,000000,7861.0000000,7962.0000000,7806.0000000,7920.0000000,42683
PHOR,D,20220708,000000,7918.0000000,7940.0000000,7825.0000000,7929.0000000,26957
PHOR,D,20220711,000000,7901.0000000,7950.0000000,7675.0000000,7726.0000000,37947
PHOR,D,20220712,000000,7724.0000000,7736.0000000,7255.0000000,7302.0000000,75998
PHOR,D,20220713,000000,7310.0000000,7388.0000000,6931.0000000,7102.0000000,77467
PHOR,D,20220714,000000,7116.0000000,7370.0000000,7023.0000000,7238.0000000,65440
PHOR,D,20220715,000000,7385.0000000,7690.0000000,7301.0000000,7423.0000000,131787
PHOR,D,20220718,000000,7499.0000000,7600.0000000,7268.0000000,7320.0000000,65036
PHOR,D,20220719,000000,7320.0000000,7395.0000000,7180.0000000,7225.0000000,39712
PHOR,D,20220720,000000,7268.0000000,7274.0000000,7168.0000000,7190.0000000,19772
PHOR,D,20220721,000000,7181.0000000,7246.0000000,7001.0000000,7190.0000000,46586
PHOR,D,20220722,000000,7201.0000000,7348.0000000,7201.0000000,7286.0000000,28782
PHOR,D,20220725,000000,7300.0000000,7423.0000000,7203.0000000,7245.0000000,35379
PHOR,D,20220726,000000,7247.0000000,7318.0000000,7180.0000000,7262.0000000,33301
PHOR,D,20220727,000000,7262.0000000,7405.0000000,7224.0000000,7379.0000000,48181
PHOR,D,20220728,000000,7400.0000000,7500.0000000,7286.0000000,7360.0000000,37361
PHOR,D,20220729,000000,7392.0000000,7510.0000000,7318.0000000,7441.0000000,49478
PHOR,D,20220801,000000,7450.0000000,7484.0000000,7260.0000000,7305.0000000,36063
PHOR,D,20220802,000000,7299.0000000,7330.0000000,7200.0000000,7211.0000000,24457
PHOR,D,20220803,000000,7162.0000000,7210.0000000,7070.0000000,7148.0000000,36259
PHOR,D,20220804,000000,7150.0000000,7292.0000000,7052.0000000,7081.0000000,61546
PHOR,D,20220805,000000,7071.0000000,7075.0000000,6801.0000000,6847.0000000,91180
PHOR,D,20220808,000000,7000.0000000,7444.0000000,6901.0000000,7444.0000000,127120
PHOR,D,20220809,000000,7410.0000000,7485.0000000,7262.0000000,7368.0000000,104829
PHOR,D,20220810,000000,7369.0000000,7428.0000000,7316.0000000,7353.0000000,33545
PHOR,D,20220811,000000,7358.0000000,7420.0000000,7330.0000000,7350.0000000,34540
PHOR,D,20220812,000000,7351.0000000,7470.0000000,7072.0000000,7410.0000000,71234
PHOR,D,20220815,000000,7423.0000000,7589.0000000,7400.0000000,7542.0000000,46381
PHOR,D,20220816,000000,7555.0000000,7681.0000000,7528.0000000,7663.0000000,36442
PHOR,D,20220817,000000,7669.0000000,7915.0000000,7600.0000000,7899.0000000,75532
PHOR,D,20220818,000000,7895.0000000,8000.0000000,7633.0000000,7884.0000000,146411
PHOR,D,20220819,000000,8465.0000000,8466.0000000,8030.0000000,8075.0000000,245779
PHOR,D,20220822,000000,8111.0000000,8140.0000000,8012.0000000,8060.0000000,60187
PHOR,D,20220823,000000,8071.0000000,8091.0000000,7922.0000000,7925.0000000,66711
PHOR,D,20220824,000000,7925.0000000,7969.0000000,7826.0000000,7842.0000000,46486
PHOR,D,20220825,000000,7852.0000000,7947.0000000,7803.0000000,7862.0000000,50215
PHOR,D,20220826,000000,7880.0000000,7979.0000000,7863.0000000,7979.0000000,51600
PHOR,D,20220829,000000,7980.0000000,8077.0000000,7979.0000000,8020.0000000,39734
PHOR,D,20220830,000000,8016.0000000,8050.0000000,7960.0000000,7962.0000000,30826
PHOR,D,20220831,000000,7949.0000000,8040.0000000,7666.0000000,7918.0000000,59729
PHOR,D,20220901,000000,7950.0000000,8040.0000000,7924.0000000,8009.0000000,57272
