<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
USDCB	60	20210312	010000	73.4996000	73.4996000	73.4996000	73.4996000	0
USDCB	60	20210313	010000	73.5081000	73.5081000	73.5081000	73.5081000	0
USDCB	60	20210316	010000	73.2317000	73.2317000	73.2317000	73.2317000	0
USDCB	60	20210317	010000	72.9619000	72.9619000	72.9619000	72.9619000	0
USDCB	60	20210318	010000	73.1019000	73.1019000	73.1019000	73.1019000	0
USDCB	60	20210319	010000	73.6582000	73.6582000	73.6582000	73.6582000	0
USDCB	60	20210320	010000	74.1390000	74.1390000	74.1390000	74.1390000	0
USDCB	60	20210323	010000	74.6085000	74.6085000	74.6085000	74.6085000	0
USDCB	60	20210324	010000	75.3585000	75.3585000	75.3585000	75.3585000	0
USDCB	60	20210325	010000	76.1535000	76.1535000	76.1535000	76.1535000	0
USDCB	60	20210326	010000	76.1741000	76.1741000	76.1741000	76.1741000	0
USDCB	60	20210327	010000	75.7576000	75.7576000	75.7576000	75.7576000	0
USDCB	60	20210330	010000	75.8287000	75.8287000	75.8287000	75.8287000	0
USDCB	60	20210331	010000	75.7023000	75.7023000	75.7023000	75.7023000	0
USDCB	60	20210401	010000	75.6373000	75.6373000	75.6373000	75.6373000	0
USDCB	60	20210402	010000	75.8073000	75.8073000	75.8073000	75.8073000	0
USDCB	60	20210403	010000	76.0734000	76.0734000	76.0734000	76.0734000	0
USDCB	60	20210406	010000	76.6052000	76.6052000	76.6052000	76.6052000	0
USDCB	60	20210407	010000	76.3802000	76.3802000	76.3802000	76.3802000	0
USDCB	60	20210408	010000	77.7730000	77.7730000	77.7730000	77.7730000	0
USDCB	60	20210409	010000	77.1011000	77.1011000	77.1011000	77.1011000	0
USDCB	60	20210410	010000	77.1657000	77.1657000	77.1657000	77.1657000	0
USDCB	60	20210413	010000	77.5104000	77.5104000	77.5104000	77.5104000	0
USDCB	60	20210414	010000	77.2535000	77.2535000	77.2535000	77.2535000	0
USDCB	60	20210415	010000	75.6826000	75.6826000	75.6826000	75.6826000	0
USDCB	60	20210416	010000	76.9808000	76.9808000	76.9808000	76.9808000	0
USDCB	60	20210417	010000	75.5535000	75.5535000	75.5535000	75.5535000	0
USDCB	60	20210420	010000	76.2491000	76.2491000	76.2491000	76.2491000	0
USDCB	60	20210421	010000	76.0155000	76.0155000	76.0155000	76.0155000	0
USDCB	60	20210422	010000	76.8198000	76.8198000	76.8198000	76.8198000	0
USDCB	60	20210423	010000	76.4217000	76.4217000	76.4217000	76.4217000	0
USDCB	60	20210424	010000	75.0893000	75.0893000	75.0893000	75.0893000	0
USDCB	60	20210427	010000	74.7680000	74.7680000	74.7680000	74.7680000	0
USDCB	60	20210428	010000	74.9578000	74.9578000	74.9578000	74.9578000	0
USDCB	60	20210429	010000	74.9390000	74.9390000	74.9390000	74.9390000	0
USDCB	60	20210430	010000	74.3823000	74.3823000	74.3823000	74.3823000	0
USDCB	60	20210501	010000	74.8451000	74.8451000	74.8451000	74.8451000	0
USDCB	60	20210505	010000	75.2567000	75.2567000	75.2567000	75.2567000	0
USDCB	60	20210506	010000	74.8617000	74.8617000	74.8617000	74.8617000	0
USDCB	60	20210507	010000	74.5770000	74.5770000	74.5770000	74.5770000	0
USDCB	60	20210508	010000	74.1373000	74.1373000	74.1373000	74.1373000	0
USDCB	60	20210512	010000	74.1567000	74.1567000	74.1567000	74.1567000	0
USDCB	60	20210513	010000	74.0400000	74.0400000	74.0400000	74.0400000	0
USDCB	60	20210514	010000	74.3566000	74.3566000	74.3566000	74.3566000	0
USDCB	60	20210515	010000	73.9968000	73.9968000	73.9968000	73.9968000	0
USDCB	60	20210518	010000	73.8537000	73.8537000	73.8537000	73.8537000	0
USDCB	60	20210519	010000	73.6992000	73.6992000	73.6992000	73.6992000	0
USDCB	60	20210520	010000	73.6778000	73.6778000	73.6778000	73.6778000	0
USDCB	60	20210521	010000	73.6007000	73.6007000	73.6007000	73.6007000	0
USDCB	60	20210522	010000	73.5803000	73.5803000	73.5803000	73.5803000	0
USDCB	60	20210525	010000	73.5266000	73.5266000	73.5266000	73.5266000	0
USDCB	60	20210526	010000	73.3963000	73.3963000	73.3963000	73.3963000	0
USDCB	60	20210527	010000	73.4737000	73.4737000	73.4737000	73.4737000	0
USDCB	60	20210528	010000	73.4580000	73.4580000	73.4580000	73.4580000	0
USDCB	60	20210529	010000	73.5870000	73.5870000	73.5870000	73.5870000	0
USDCB	60	20210601	010000	73.2965000	73.2965000	73.2965000	73.2965000	0
USDCB	60	20210602	010000	73.2411000	73.2411000	73.2411000	73.2411000	0
USDCB	60	20210603	010000	73.4979000	73.4979000	73.4979000	73.4979000	0
USDCB	60	20210604	010000	73.2636000	73.2636000	73.2636000	73.2636000	0
USDCB	60	20210605	010000	73.2721000	73.2721000	73.2721000	73.2721000	0
USDCB	60	20210608	010000	72.9294000	72.9294000	72.9294000	72.9294000	0
USDCB	60	20210609	010000	72.8256000	72.8256000	72.8256000	72.8256000	0
USDCB	60	20210610	010000	72.0829000	72.0829000	72.0829000	72.0829000	0
USDCB	60	20210611	010000	72.1974000	72.1974000	72.1974000	72.1974000	0
USDCB	60	20210612	010000	71.6797000	71.6797000	71.6797000	71.6797000	0
USDCB	60	20210616	010000	71.8318000	71.8318000	71.8318000	71.8318000	0
USDCB	60	20210617	010000	72.0323000	72.0323000	72.0323000	72.0323000	0
USDCB	60	20210618	010000	72.5048000	72.5048000	72.5048000	72.5048000	0
USDCB	60	20210619	010000	72.2216000	72.2216000	72.2216000	72.2216000	0
